fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
"5","3",Bosque_antiguo,"5",Bosque_antiguo 5,20231016_120752504672_336,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,86.000000000000000,57.000000000000000,0.662790697674419
"6","3",Bosque_antiguo,"6",Bosque_antiguo 6,20231016_120851952192_908,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,61.000000000000000,59.000000000000000,0.967213114754098
"7","3",Bosque_antiguo,"7",Bosque_antiguo 7,20231016_121008739633_517,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,60.000000000000000,60.000000000000000,1.000000000000000
"8","3",Bosque_antiguo,"8",Bosque_antiguo 8,20231016_121232130412_563,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,83.000000000000000,70.000000000000000,0.843373493975904
"9","3",Bosque_antiguo,"9",Bosque_antiguo 9,20231016_121328186837_907,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,61.000000000000000,61.000000000000000,1.000000000000000
"10","3",Bosque_antiguo,"10",Bosque_antiguo 10,20231016_121709630038_492,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,88.000000000000000,87.000000000000000,0.988636363636364
"11","4",Suelo,"1",Suelo 1,20231016_125550000973_665,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,260.000000000000000,0.000000000000000,0.000000000000000
"12","4",Suelo,"2",Suelo 2,20231016_125719142281_748,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,61.000000000000000,0.000000000000000,0.000000000000000
"13","4",Suelo,"3",Suelo 3,20231016_125757831785_211,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,63.000000000000000,2.000000000000000,0.031746031746032
"14","4",Suelo,"4",Suelo 4,20231016_125848091245_853,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,66.000000000000000,12.000000000000000,0.181818181818182
"15","4",Suelo,"5",Suelo 5,20231016_125953548481_376,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,69.000000000000000,0.000000000000000,0.000000000000000
"16","4",Suelo,"6",Suelo 6,20231016_130111209170_701,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,64.000000000000000,0.000000000000000,0.000000000000000
"17","4",Suelo,"7",Suelo 7,20231016_130300035936_491,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,359.000000000000000,0.000000000000000,0.000000000000000
"18","4",Suelo,"8",Suelo 8,20231016_130351125497_175,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,61.000000000000000,11.000000000000000,0.180327868852459
"19","4",Suelo,"9",Suelo 9,20231016_130447996596_289,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,81.000000000000000,5.000000000000000,0.061728395061728
"20","4",Suelo,"10",Suelo 10,20231016_130543878056_473,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,197.000000000000000,80.000000000000000,0.406091370558376
